title,body
Bolyard,"6 Rounds for Time
13 Deadlifts (255/165 lb)
42 Double-Unders
2 Rope Climbs (15 ft)
1 Muscle-Up"
Bondy,"AMRAP in 20 minutes
6 Pull-Ups
11 Burpees
24 Sit-Ups

Wear a Weight Vest (20/14 lb)"
Boneca,"4 Rounds for Time
2 Legless Rope Climbs
13 Box Jumps (30/24 in)
1,985 meter Air Bike
7 Squat Cleans (185/115 lb)
9 Strict Pull-Ups
200.6 meter Run with a Medicine Ball (20/16 lb)"
bOObs,"AMRAP (with a Partner) in 32 minutes
2 Back Squats (85% of 1 rep max)
6 Burpee Box Jump Overs (30/24 in)
13 Handstand Push-Ups
18 Double-Unders"
Bootcamp,"AMRAP in 28 minutes
204 meter Run
12 Box Jumps (24/20 in)
3 Power Snatches (135/95 lb)
20 Burpees

Cash-Out: 146 Double-Unders"
Bottle Rocket,"For Time
25 Burpees
25 Power Cleans (135/95 lb)
25 Burpees

7 Wall Ball Shots (20/14 lb) at the top of each minute"
Boulder,"For Time
20 Hang Power Cleans (95/65 lb)
23 Push Presses (95/65 lb) 
25 Box Jumps (24/20 in)
49 American Kettlebell Swings (53/35 lb)
59 Weighted Sit-Ups (25/15 lb plate)
51 Power Snatches (95/65 lb)
51 Walking Lunges
61 Weighted Russian Twists (25/15 lb plate)
62 Sledgehammer Strikes
65 Double-Unders"
Bowen,"3 Rounds For Time
800 meter Run
7 Deadlifts (275/185 lb)
10 Burpee Pull-Ups
14 Single Arm Kettlebell Thrusters (1.5/1 pood)
20 Box Jumps (24/20 in)"
Bowie,"With a Running Clock for Load and Time
10-8-6-4-2 reps of:
Back Squats (increase weight each round)

Directly into, 30-20-10 reps of:*
Burpees
Alternating Lunges
V-Ups

*Time Cap: 20 minutes"
Brad Harper,"5 Rounds for Time
18 Kettlebell Swings (2/1.5 pood)
13 Burpees
23 Wall Ball Shots (20/14 lb)"
Bradley,"10 Rounds For TIme
100 meter Sprint
10 Pull-Ups
100 meter Sprint
10 Burpees
30 seconds Rest"
Bradley Lowery,"6 Rounds For Time
7 Burpees Over Bar
7 Reverse Lunges (60/40 kg)
17 calorie Assault Bike
7 Dumbbell Snatches (22.5/15 kg)
7 Forward Lunges (60/40 kg)
17 Back Extensions
7 x 20 meter Yoke Walks (60/40 kg)

Cash-In: 2017 meter Row"
Bradshaw,"10 Rounds for Time
3 Handstand Push-Ups
6 Deadlift (225/155 lb)
12 Pull-Ups
24 Double-Unders"
Brady,"4 Rounds for Time
11 Thrusters (95/65 lb) 
9 Power Cleans (95/65 lb)
17 Back Squat (95/65 lb)"
Bradyn,"5 Rounds for Time
99 Single-Unders
7 Burpees
21 Thrusters (65/45 lb)

Cash-Out: 1 mile Run"
Brandon's Bad Day,"3 Rounds for Time
15 Overhead Squats (95/65 lb)
15 L-Pull-Ups
15 Split Jerks (95/65 lb)
15 Knees-to-Elbows
15 Squat Hang Cleans (95/65 lb)
15 Weighted Back Extensions (25/10 lb plate)"
Braswell,"AMRAP in 40 minutes
12 Burpees
9 Hang Power Cleans (95/65 lb)
18 Wall Ball Shots (20/14 lb)
200 meter Sandbag Run (60/40 lb)"
Brave Like Gabe,"For Time
19 Clusters (135/85 lb)
1,000 meter run
86 Burpees
1,000 meter run
32 Thrusters (95/65 lb)
1,000 meter run"
Bre,"AMRAP in 20 minutes
200 meter Run
1 Deadlift (225/155 lb)
1 Hang Clean (225/155 lb)
1 Push Press (225/155 lb)
1 Thruster (225/155 lb)
200 meter Run"
Break Up/Make Up,"Two Parts (with a Partner)
Part A: ""The Break Up""
EMOM for As Long As Possible:
1st minute: 1 Push Press (125/85 lb) + 1 Burpee
2nd minute: 2 Push Presses (125/85 lb) + 2 Burpees
3rd minute: 3 Push Presses (125/85 lb) + 3 Burpees
etc...

10 minute Rest

Part B: ""The Make Up""
6 Rounds (alternating*) for Time of:
5 Squat Cleans (125/85 lb)
10 Pull-Ups
200 meter Row

*One partner completes a round while the other performs a Max L-Sit, then rests."
Brehm,"For Time
10 Rope Climbs (15 ft)
20 Back Squats (225 lb)
30 Handstand Push-Ups
40 calorie Row"
Brenda Howard,"6 Rounds for Time
28 Dumbbell Push Presses (2x50/35 lb)
19 Hollow Tucks
70 High Knees"
Brennan,"For Time (with a Partner)
1,000 meter Row
40 Overhead Squats (95/65 lb)
50 Chest-to-Bar Pull-Ups
750 meter Row
30 Squat Snatches (95/65 lb)
30 Chest-to-Bar Pull-Ups
500 meter Row
20 Overhead Squats (95/65 lb)
20 Chest-to-Bar Pull-Ups
250 meter Row
10 Squat Snatches
10 Chest-to-Bar Pull-Ups"
Brenton,"5 Rounds For Time
100 foot Bear Crawl
100 foot Standing Broad-Jumps 

Perform 3 Burpees after every 5 Broad-Jumps

Wear a Weight Vest (20/14 lb)"
Breonna Taylor,"For Time
26 Deadlifts (135/95 lb)
26 Hang Power Cleans (135/95 lb)
26 Front Squats (135/95 lb)
26 Shoulder-to-Overheads (135/95 lb)

Every minute on the minute, perform:
6 Burpees"
Breonna Taylor,"8 Rounds for Time
13 Burpees
26 Russian Kettlebell Swings (55/35 lb)
13 Thrusters (75/55 lb)
26 Ring Rows

Perform 3 minutes work and 1 minute rest until the 8 rounds are completed."
Brett Forte,"For Time (with a Partner)
400 meter Run (together)

Then, 4 Rounds of:
40 Medicine Ball Lunges (9/6 kg)
14 Devils Presses (20/15 kg)
70 Hang Power Cleans (40/27 kg)
41 Strict Presses (40/27 kg)

400 meter Run (together)"
Brian,"3 Rounds For Time
5 Rope Climbs (15 ft)
25 Back Squats (185/135 lb)"
Brian Ahearn,"For Time
30 Power Cleans (135/95 lb)
20 Shoulder-to-Overheads (155/105 lb)
10 Pendlay Rows (185/135 lb)"
Brian Bilcher,"For Time
9 Cleans (185/135 lb)
21 Handstand Push-Ups
7 Cleans (185/135 lb)
15 Handstand Push-Ups
5 Cleans (185/135 lb)
9 Handstand Push-Ups"
Brian Cannizzaro,"For Time
50 Thrusters (135/95 lb)
EMOM after one minute mark:
1 Burpee Box Jump (30/24 in)"
Brian Hickey,"21-15-9 Reps for Time
Power Cleans (135/95 lb)
Shoulder-to-Overheads (135/95 lb)
Burpees"
Brian Lavigne – Brandon Stalker,"AMRAP (with a Partner) in 42 minutes
Brian Lavigne
From 0:00-21:00, complete:
Buy-In: 111 Push-Ups

In the remaining time, AMRAP of:
2 Squat Cleans (each at 185/135 lb)
30 Burpees (switch after every rep)
54 Pull-Ups

Brandon Stalker
From 21:00-42:00, complete:
Buy-In: 514 meter Row (each)

In the remaining time, AMRAP of:
24 Air Squats
7 Kettlebell Box Step Overs (24/20 in, 2x70/53 lb)
3 American Kettlebell Swings (70/53 lb)
118 meter Partner Run"
Brian McAleese,"For Time
75 Thrusters (95/65 lb)

At the top of each minute perform:
20 Double-Unders"
Brian Moore,"25 Rounds For Time
5 Hang Power Cleans (135/95 lb)
5 Front Squats (135/95 lb)
4 Shoulder-to-Overheads (135/95 lb)

Cash out: 2015 meter Row"
Brian Serdynski,"For Time
400 meter Run
50 Air Squats
350 meter Run
40 Sit-Ups
250 meter Run
30 Push-Ups
150 meter Run
20 Jumping Jacks

Wear a Weight Vest (20/15 lb)"
Brian Sweeney,"5 Rounds for Time
7 Bear Complexes (135/95 lb)
10 Lateral Over Bar Burpees"
Brian Tripp,"AMRAP in 23 minutes
3 Pull-Ups
7 Wall Ball Shots (20/14 lb)
19 Sit-Ups
68 Double-Unders"
Briški,"For Time
800 meter Run
100 Wall Ball Shots (9/6 kg)
100 Kettlebell Swings (24/16 kg)
100 Air Squats
800 meter Run

Wear a Weight Vest (9/6 kg)"
Brock,"For Time
100 calorie Row
100 calorie Ski Erg
100 calorie Assault Air Bike

Every 2 minutes, perform:
7 Burpees"
Brodie,"AMRAP in 20 minutes
11 Pistols
11 Renegade Rows (35/25 lb)
3 Burpees
20 AbMat Sit-Ups"
Broken Arrow,"For Time
150 Air Squats
100 Push-Ups
50 Strict Pull-Ups
10 mile Bike
3 mile Run
1,000 Double-Unders
150 Air Squats
100 Push-Ups
50 Strict Pull-Ups

Wear a Weight Vest (20/14 lb) during the first 300 reps (initial air squats, push-ups, and pull-ups)"
Brooks,"AMRAP in 20 minutes

Buy-In: 170 Double-Unders

Then, in the remaining time AMRAP of:
5 Push-Ups
22 Alternating Lunges
11 Burpees
17 Box Jumps (24/20 in)"
Broomstick Mile,"For Time
25 Back Squats
25 Front Squats
25 Overhead Squats
400 meter Run
25 Shoulder Presses
25 Push Presses
25 Push Jerks
400 meter Run
50 Hang Cleans
400 meter Run
50 Snatches
400 meter Run

Perform all movements except the run with a PVC pipe (or broomstick)."
Browny,"For Time
Buy-In: 2,013 meter Row

Then, 9 Rounds of:
3 Deadlifts (100/60 kg)
3 Strict Handstand Push-Ups
30 Overhead Walking Lunges (15/10 kg Plate)
4 Pull-Ups

Buy-Out: 2,023 meter Row"
Bruce Gary,"For Time
40 Double-Unders
40 Box Step-Ups (24/20 in)
40 Push Presses (75/45 lb)
30 Double-Unders
30 Box Step-Ups (24/20 in)
30 Push Presses (75/45 lb)
20 Double-Unders
20 Box Step-Ups (24/20 in)
20 Push Presses (75/45 lb)
10 Double-Unders
10 Box Step-Ups (24/20 in)
10 Push Presses"
Bruck,"4 Rounds For Time
400 meter Run
24 Back Squats (185/135 lb)
24 Jerks (135/95 lb)"
"Brussels, Never Forget","For Time (with a Partner)
1 minute of Silence

Then, 3 Rounds of:
22 Kettlebell Box Step-Ups (2 x 20/12 kg)
16 Strict Pull-Ups
32 Thrusters (50/35 kg)

Then,
340 Burpees"
Brute Force Mile,"For Time
50 Bag Facing Burpees (70/50 lb)
400 meter Burden Run (70/50 lb)

Then, 10 rounds of:
3 Push-Up Bag Drags (70/50 lb)
4 Sumo Deadlift High-Pulls (70/50 lb)
5 Front Squats (70/50 lb)

800 meter Burden Run (70/50 lb)

Then, 1-2-3-4-5-6-7-8-9-10 reps of:
Bear Complexes (70/50 lb)
Brute Force Burpees

400 meter Burden Run (70/50 lb)
50 Lateral Burpees"
Brutus,"For Time
1-2-3-4-5-6-7-8-9-10 reps of:
Hang Power Cleans (40% BW)
Overhead Squats (40% BW)
Ring Dips

Then, 800 meter Run

Then, 10-9-8-7-6-5-4-3-2-1 reps of:
Hang Power Cleans (40% BW)
Overhead Squats (40% BW)
Ring Dips"
Bryan Kastl,"3 Rounds for Time
12 Cleans (185/115 lb)
23 calorie Row
70 Kettlebell Swings

Buy-Out: 51 Alternating Dumbbell Snatches (50/35 lb)"
Bryant Chase,"AMRAP in 22 minutes
12 Power Snatches (115/75 lb)
23 Back Squats (115/75 lb)
12 Chest-to-Bar Pull-Ups"
BSPP,"AMRAP in 40 minutes
1 Muscle-Up
2 Rope Climbs
2 Muscle-Ups
1 Rope Climb
6 Flights of Stairs"
BSPP,"For Time
1,800 meter Run
112 Air Squats
18 Up-Downs
112 Push-Ups
18 Up-Downs
112 Pull-Ups
18 Up-Downs

Wear a Weight Vest (9/6 kg)"
BSU,"3 Rounds for Time
7 Thrusters (165/110 lb)
15 Muscle-Ups
10 Power Snatches (165/110 lb)"
Bubba,"AMRAP in 20 minutes
6 Dumbbell Man Makers (2x55/35 lb)
7 Box Step Ups (2x55/35 lb)

Wear a Weight Vest (20/14 lb)"
"Buddy, Let's Go Flat Out","For Time (with a Partner)
30 Snatches (135/95 lb)

Then in 12 minutes, establish max weight in 5 attempts:
1 Bear Complex*

Directly into:
30 Clean-and-Jerks (135/95 lb)

Then in 12 minutes, establish 1 rep max:
1 Bar Buddy Deadlift

*1 Bear Complex consists of 1 Power Clean, 1 Front Squat, 1 Push Press, 1 Back Squat, and 1 Push Press"
Buffalo 10,"10 Rounds (with a Partner) for Time:
5 Deadlifts (225/155 lb)
14 Push-Ups
22 Double-Unders
400 meter Run (together)

Partners switch after each exercise. Rep counts are per partner, not shared."
Bulger,"10 Rounds For Time
150 Meter Run
7 Chest-to-Bar Pull-Ups
7 Front Squats (135/95 lbs)
7 Handstand Push-Ups"
Bull,"2 Rounds For Time
200 Double-Unders
50 Overhead Squats (135/95 lb)
50 Pull-Ups
1 mile Run"
Bullard,"For Time
Buy-In: 532 meter Sandbag Run (40/30 lb)

5 Rounds of:
21 Hand Release Push-Ups
20 Alternating Dumbbell Snatches (50/35 lb)
15 Single-Arm Overhead Dumbbell Lunges (50/35 lb)

Cash-Out: 532 meter Sandbag Run (40/30 lb)

Wear a Weight Vest for the entire workout (20/14 lb)"
Bullfrog 811GS,"AMRAP in 29 minutes

Buy-In: 811 meter Run

Then AMRAP in remaining time:
8 Pull-Ups
11 Push Presses (135/85 lb)
8 Box Jumps (24/20 in)
11 Kettlebell Swings (53/35 lb)
8 Toes-to-Bars
11 Power Cleans (135/85 lb)
8 Burpees"
Bullfrog 811GS,"AMRAP in 26 minutes
10 Box Jumps (24/20 in)
5 Deadlifts (225/155 lb)
16 Ball Slams (40/30 lb)

Cash Out:
811 meter Farmer&#039;s Carry (2 x 53/35 kg)"
Burbridge,"AMRAP in 17 minutes
78 Double-Unders
10 Wall Ball Shots (20/14 lb)
7 Deadlifts (225/155 lb)
8 Bar Facing Burpees
10 Wall Ball Shots"
Burden Run,"For Time
10 mile Run

Every mile, perform:
10 Burpees"
Burgess,"For Time
30 Pull-Ups
30 Burpees
20 Pull-Ups
20 Burpees
10 Pull-Ups
10 Burpees"
Buriak,"AMRAP in 20 minutes of:
5 Squat Cleans (155/135 lb)
10 Burpees Over the Bar
15 Pull-Ups
200 meter Run"
Burn the Bird,"For Time
30 Clean-and-Jerks (135/95 lb)

Rest 5 minutes

Then, 5 Rounds of:
15 calorie Bike
15 Kettlebell Swings (2/1.5 pood)

Rest 4 minutes

Then, 4 Rounds of:
4 Pull-Ups
8 Push-Ups
16 Air Squats

Rest 3 minutes

Then, 3 rounds of:
15 Box Jumps (24/20 in)
15 calorie Row

Rest 2 minutes

Then, 2 Rounds of:
20 Wall Ball Shots (20/14 lb)
30 Sit-Ups

Rest 1 minute

Finally, perform:
50 Burpees"
Burn the Bird,"4 Rounds for Time
250 meter Row
20 Kettlebell Swings (55/35 lb)
15 Double-Unders
100 meter Run
5 Burpees"
Burnt Turkey,"For Time
4 Rounds of:
15/12 calorie Echo Bike
15 Chest-to-Bar Pull-Ups

Rest 3 minutes

Then, 3 Rounds of:
20 Dumbbell Deadlifts (2x35/20 lb)
20 Dumbbell Thrusters (2x35/20 lb)

Rest 2 minutes

Then, 2 Rounds of:
25 Alternating Dumbbell Power Snatches (35/20 lb)
25 Toes-to-Bars

Rest 1 minute

Finally, 1 Round of:
30 Devil Presses (35/20 lb)

Time Cap: 30 minutes"
Burptacular,"10-9-8-7-6-5-4-3-2-1 Reps For Time
Burpees
Kettlebell Thrusters (32/20 kg)
Burpees
Kettlebell Sumo Deadlift High-Pulls (32/20 kg)
Burpees
Kettlebell Swings (32/20 kg)"
Bush,"For Time
Buy-In: 28 Burpees

2 Rounds of:
10 V-Ups
11 Push-Ups
374 meter Run

Buy-Out: 28 Burpees"
Butters,"For Time
1 mile Run
6 Tire Flips
17 Pull-Ups
1 mile Run
7 Kettlebell Snatches (53/35 lb)
15 Deadlifts (225/155 lb)
10 Sandbag Ground to Over-the Shoulders"
By His Wounds,"3 Rounds for Time (in a Team of 3)
39 Thrusters (95/65 lb)
400 meter Team Run with 1 Medicine Ball (20/14 lb)
100 Sledgehammer Hits on Tire (10/8 lb)
1 minute Team Dead Hang Hold
30 Bar Over Burpees
30 Deadlifts (185/135 lb)"
C-Note,"For Time
100 Single-Unders
100 Pull-Ups
100 Lunges
100 Push-Ups
100 calorie Row
100 Sit-Ups
100 Air Squats
100 calorie Assault Air Bike"
C2 Triathlon,"For Time
6,000 meter Bike Erg
4,000 meter Row
2,000 meter Ski Erg

Time Cap: 35 minutes"
Caitlin,"For Time
2000 meter Row
120 Calorie Schwinn Air Bike
1 mile Run"
Cajun,"4 Rounds for Time
400 meter Run
16 Bench Presses (135/95 lb)
16 Wall Ball Shots (20/14 lb)
16 Shoulder-to-Overheads (95/65 lb)
16 GHD Sit-Ups"
Calabasas 9,"For Time
Buy-In: 24 second Silence

Then, perform:
41 Ring Rows
13 Hand Release Push-Ups
56 Air Squats
46 Sit-Ups
13 Box Jumps (24/20 in)
38 Burpees
50 Sit-Ups
45 Wall Ball Shots (20/14 lb)
13 Strict Pull-Ups

Cash-Out: 800 meter Run"
Calata,"6 Rounds for Time
440 meter Row
3 Clean-and-Jerks (135/95 lb)
16 Burpees
22 Sit-Ups
35 Jump Ropes

Buy-Out: 1 mile Run"
Caleb Erickson,"5 Rounds for Time (with a Partner)
400 meter Sandbag Carry (150/100 lb)
30 Burpees
30 Plate Ground-to-Overheads (45/35 lb)
30 Overhead Dumbbell Walking Lunges (50/35 lb)"
Calixto Anaya Jr.,"5 Rounds for Time
5 Deadlifts (315/225 lb)
10 Burpees"
Cam,"For Time:
Buy-in: 1,077 meter Row

Then, 3 rounds of:
7 Burpee Box Jump Overs (24/20 in)
16 Alternating Dumbbell Snatches (50/35 lb)
19 Front Squats (135/95 lb)

Cash-out: 66 Push-Ups"
Cameron,"For Time
50 Walking Lunges
25 Chest-to-Bar Pull-Ups
50 Box Jumps (24/20 in)
25 Triple-Unders
50 Back Extensions
25 Ring Dips
50 Knees-to-Elbows
25 Wall Ball ""2-for-1's"" (20/14 lb)
50 Sit-Ups
5 Rope Climbs (15 ft)"
Cameron,"AMRAP in 23 minutes
75 Air Squats
4 Rope Climbs
75 Air Squats
27 Burpees
75 Air Squats
17x50 meter Sandbag Carry (150/100 lb)

Wear a Weight Vest (20/14 lb)"
Camilleri,"3 Rounds for Time
400 meter Run
12 Pull-Ups
300 meter Run
24 Air Squats
200 meter Run
17 Push-Ups
100 meter Run
33 AbMat Sit-Ups

Wear a Weight Vest (20/14 lb)"
Candy,"5 Rounds for Time
20 Pull-Ups
40 Push-Ups
60 Air Squats"
Canine Rex,"For Time
7 Rounds of:
500 meter Run
14 Air Squats
14 Lunges (per leg)
14 Sit-Ups
14 Squat Jumps

Directly into:
25 Burpees
1 mile Run"
Cannon,"5 Rounds for Time
8 Burpee Box Jump Overs (24/20 in)
9 Clean-and-Jerks (155/105 lb)
20 Pull-Ups
200 meter Run"
Cannon Hinnant,"5 Rounds for Time
8 Squat Cleans (155/105 lb)
9 Strict Pull-Ups
20 Push-Ups

Starting at 0:00, every 2 minutes perform:
5 Bar Facing Burpees

Wear a Weight Vest (20/14 lb) throughout the 5 rounds

Cash-Out: 5 mile Assault Bike"
Capoot,"For Time
100 Push-Ups
800 meter Run
75 Push-Ups
1,200 meter Run
50 Push-Ups
1,600 meter Run
25 Push-Ups
2,000 meter Run"
Capt. Gina Dixon,"4 Rounds for Time
100 foot Plate Overhead Walking Lunges (45/35 lb)
30 Box Jumps (24/20 in)
20 Wall Ball Shots (20/14 lb)
10 Handstand Push-Ups"
Capt. Jennifer Casey,"For Time
Buy-In: 50 Deadlifts (275/185 lb)

Then, 5 Rounds of:
16 Single-Arm Dumbbell Push Jerks (75/55 lb)
16 calorie Row

Cash-Out: 2,000 meter Run"
Captain David Dorn,"38 Rounds for Time
4 Lateral Burpees over Bar
1 Squat Clean (185/135 lb)
23 Double-Unders

Cash-Out: 77 Pull-Ups"
Captain Tom,"For Time
10 Rounds of:
30 Lunges
4 Devil Presses (2x50/35 lb)
19 Air Squats
20 Double-Unders

Directly into:
100 Burpees"
Car 294,"AMRAP (with a Partner) in 25 minutes
18 calorie Air Bike
12 Reverse Alternating Lunges
24 Jumping Air Squats
32 Wall Ball Sit-Ups (20/14 lb)
31 Synchronized Burpees

*Perform 7 Push-Ups every 5 minutes"
Cardio Complex,"For Time
Round 1:
1,000 meter Row
1 mile Assault Air Bike
200 Single-Unders

Round 2:
750 meter Row
0.8 mile Assault Air Bike
150 Single-Unders

Round 3:
500 meter Row
0.6 mile Assault Air Bike
100 Single-Unders

Round 4:
250 meter Row
0.4 mile Assault Air Bike
50 Single-Unders"
Carey,"For Time
5,000 meter Run

Every 3 minutes, perform:
10 Burpees
10 Plank Push-Ups
10 Alternating Lunges

Time Cap: 40 minutes"
Carl Asaro,"For Time
50 Double-Unders
25 Shoulder-to-Overheads (135/95 lb)
20 Front Squats (135/95 lb)
15 Cleans (135/95 lb)
10 Snatches (135/95 lb)
5 Thrusters (135/95 lb)
50 Double-Unders"
Carl Bedigian,"For Time
500 meter Row
30 Snatches (95/65 lb)
500 meter Row
30 Clean-and-Jerks (95/65 lb)
500 meter Row"
Carl Bini,"5 Rounds for Time
500 meter Row
50 Double-Unders
5 Squat Clean Thrusters (155/105 lb)"
Carl Molinaro,"21-15-9 Reps for Time
Thrusters (135/95 lb)
Burpee Box Jumps (24/20 in)
Handstand Push-Ups"
Carla,"5 Rounds for Time (in a Team of 4)
400 meter Run (together)
30 Dumbbell Deadlifts (2x50/35 lb) (each)
30 Sit-Ups (each)"
Carla D,"6 Rounds for Time
28 Wall Ball Shots (20/14 lb)
19 Deadlifts (225/155 lb)
61 Double-Unders"
Carlos Lillo,"40-30-20-10 Reps for Time
Kettlebell Swings (32/24 kg)
Goblet Squats (32/24 kg)
Toes-to-Bars"
Carol Swanson,"For Time (in a Team of 3)
100 Wall Ball Shots (20/14 lb)
100 Pull-Ups
100 Sit-Ups
200 Air Squats
100 Push-Ups
100 calorie Air Bike
100 Kettlebell Swings (53/35 lb)"
Caroline,"For Time
3-7-11-14-11-7-3 reps of:
Deadlifts (225/135 lb)
Box Jumps (24/20 in)
Calorie Row"
Carr 413,"For Time
413 meter Sandbag Carry

Then, 4 Rounds of:
7 Power Cleans (155/105 lb)
6 Bar Over Burpees

413 meter Row

Then, 4 Rounds of:
7 calorie Assault Bike
6 Burpee Box Jump Overs

413 meter Row

Then, 4 Rounds of:
7 Deadlifts (155/105 lb)
6 Goblet Squats (53/35 lb)

413 meter Sandbag Carry"
Carrier,"For Time (with a Partner)
2,016 meter Row / Plank Hold
66 Dumbbell Snatches (45/30 lb)
65 Toes-to-Bars
55 Goblet Squats (32/24 lb)
53 Burpees
37 Thrusters (115/85 lb)
21 Chest-to-Bar Pull-Ups
37 Thrusters (115/85 lb)
53 Burpees
55 Goblet Squats (32/24 lb)
65 Toes-to-Bars
66 Dumbbell Snatches (45/30 lb)
2,016 meter Row / Plank Hold"
Carse,"21-18-15-12-9-6-3 Reps for Time
Squat Cleans (95/65 lb)
Double-Unders
Deadlifts (185/135 lb)
Box Jumps (24/20 in)

Start each round with a 50 meter Bear Crawl"
Carson,"For Time
87 ft Sled Pull (245/185 lb)
12 Burpees
29 Wall Ball Shots (20/14 lb)
12 Overhead Squats (95/65 lb)
29 Box Jumps
12 Pull-Ups
29 calorie Row
87 ft Sled Pull (245/185 lb)"
Carter,"10 Rounds for Time
11 Sandbag Push Presses (60/40 lb)
14 Sandbag Bent Over Rows (60/40 lb)
19 Air Squats
60 yard Run (30 down, 30 back)"
Cassio,"For Time
800 meter Run
40 meter Walking Lunges

Then, 6 Rounds of:
20 Burpees
20 Box Jumps (24/20 in)
20 Push Jerks (40/25 kg)
20 Wall Ball Shots (20/14 lb)
20 Kettlebell Swings (24/16 kg)

Finally, perform:
400 meter Run"
Caster Semenya,"8 Rounds for Time
Every 1:55, complete:
200 meter Run
5 Double Push-Up Burpees
6 Jump Squats to Target (12 in above reach)"
Cavaliers,"Five 3-minute AMRAPs in 23 minutes

AMRAP in 3 minutes:
15 Power Snatches (75/55 lb)
41 Ball Slams (20/14 lb)
1 Heavy Lift* (80% of 1 RM)

Rest 2 minutes

Complete 5 times total

*Athlete's choice of lift (Deadlift, Back Squat, or Front Squat) for the entire workout."
Cees Haak,"2 Rounds (with a Partner) for Time
12 Burpee Wall Ball Shots (20/14 lb)
8 Clean-and-Jerk Complexes* (60/35 kg)
1,969 meter Row
1 minute Handstand Hold (cumulative)
6 Body Basters**
2,016 Single-Unders

*One ""Clean-and-Jerk Complex"" is: 1 Deadlift, 1 Power Clean, 1 Front Squat, and 1 Shoulder-to-Overhead

**One ""Body Blaster"" is: a Burpee into a Pull-Up into a Knees-to-Elbows"
Celiz,"For Time
1 mile Run
75 Hand Release Push-Ups
75 Air Squats
1 mile Run
75 Sit-Ups
75 Box Jumps (24/20 in)

Wear a ruck or a weighted vest (20/15 lb)"
CG-6535,"4 Rounds for Time
800 meter Run
6 Handstand Push-Ups
5 Squat Clean-and-Jerks (155/115 lb)
3 Muscle-Ups
5 Burpee Box Jump-Overs (24/20 in)"
CG-6535,"4 Rounds for Time
400 meter Run
65 Air Squats
35 Burpee Pull-Ups"
Chad,"For Time
1,000 Box Step-Ups (20 in)

Wear a Ruck Pack (45/35 lb)"
Chad (2006),"For Time (in a Team of 4)
400 meter Weighted Walk/Run (190 lb) (together)
25 Deadlifts (100 lb) (each)
400 meter Weighted Walk/Run (190 lb) (together)
25 Thrusters (45 lb) (each)
400 meter Weighted Walk/Run (190 lb) (together)
25 Sandbag Front Squats (50 lb) (each)
400 meter Weighted Walk/Run (190 lb) (together)
25 Push Presses (45 lb) (each)
400 meter Weighted Walk/Run (190 lb) (together)"
Champion,"2 Rounds for Time
25 Handstand Push-Ups
20 Deadlifts (135/95 lb)
15 Overhead Squats (135/95 lb)
10 Burpee Box Jump Overs (24/20 in)
800 meter Run

Time Cap: 30 minutes"
Chaos,"For Time
35/30 calorie SkiErg
30/25 Burpees to Bar
45/40 Single-Arm Dumbbell Overhead Squats (50/35 lb)
40/45 Pistols
25 Box Jump-Overs (42/36 in)
110 ft Tumbler Pull (400/300 lb)

Time Cap: 12 minutes"
Chapman,"For Time
1,200 meter Run
100 Push-Ups
25 Broad-Jumps
100 Sit-Ups
1,200 meter Run
100 Push-Ups
25 Broad Jumps
100 Sit-Ups
1,200 meter Run

Wear a Weight Vest (20/14 lb)"
Charles Garbarini,"EMOM for 9 minutes
Odd minutes:
9 Deadlifts (275/185 lb)
Even minutes:
9 Bar Over Burpees"
Charles Kasper,"For Time
15 Ground-to-Overheads (155/105 lb)
200 meter Walking Lunges
15 Ground-to-Overheads (155/105 lb)
800 meter Run
15 Ground-to-Overheads (155/105 lb)"
Charles Margiotta,"For Time
1,000 meter Row
20 Power Cleans (135/95 lb)
1,000 meter Row
20 Power Snatches (135/95 lb)
1,000 meter Row
20 Thrusters (135/95 lb)
1,000 meter Row"
Charles Mendez,"For Time
5 Overhead Squats (BW)
10 Shoulder-to-Overheads (BW)
20 Deadlifts (BW)"
Charles Upham VC & Bar,"For Time:

Buy In: 43 Burpees

2 Rounds of:
19 calories Ski, Row, or Echo Bike*
8 Single-Arm Devils Presses (30/22.5 kg)
19 calories SkiErg, Row, or Echo Bike*
41 Single Dumbbell Box Step-Ups (20"")
19 calories SkiErg, Row, or Echo Bike*
42 Pull-Ups
19 calories SkiErg, Row, or Echo Bike*
94 Double-Unders

Cash Out: 43 Burpees

Time Cap: 40 minutes**"
Charleston 9,"9 Rounds for Time
9 Cleans (95/65 lb)
9 Burpees
9 Pull-Ups
9 Wall Ball Shots (20/14 lb, 10/9 ft)
9 AbMat Sit-Ups
9 Shoulder-to-Overheads (95/65 lb)
9 Box Jumps
9 Push-Ups
9 Air Squats"
Charlie,"For Time
100 Burpee Pull-Ups
100 Double-Unders"
Charlotte,"21-15-9 Reps, For Time
Overhead Squats (95/65 lb)
Sumo Deadlift High Pull (95/65 lb)"
Chattanooga 5,"5 Rounds (with a Partner) for Time
7 Rope Climbs
16 Barbell Complexes* (135/95 lb)

Cash-Out:
2,015 meter Row

*Barbell Complex is:
1 Deadlift
1 Hang Power Clean
1 Jerk
1 Back Squat"
Chavez,"For Time
2,003 meter Row
30 Power Snatches (95/65 lb)
30 Bar Over Burpees
30 Thrusters (95/65 lb)
30 Bar Over Burpees
30 Power Cleans (95/65 lb)
2,006 meter  Row"
